eday,ejemplar,padrillo,yegua,track,distance,surface,condicion,p,ecpos,take_odds
21mar2025,Hit Dubai,Hit It A Bomb,Dubai Glory,Hipódromo de Palermo,1000,Arena,Yeguas 4 años ganadoras de 2 carreras,1,0,3.8499999
21mar2025,Carisma Hit,Hit It A Bomb,Carisima Emper,Hipódromo de Palermo,1600,Arena,Yeguas 4 años ganadoras,10,44.5,20.9
21mar2025,Ursi Seattle,Seattle Fitz,Ursi Nistel,Hipódromo de Palermo,1600,Arena,Yeguas 4 años ganadoras,9,33.5,38.75
21mar2025,Fantastic Bomb,Hit It A Bomb,Fantastic Rye,Hipódromo de Palermo,1000,Arena,Yeguas 4 años y más ganadoras,10,15.25,42.450001
21mar2025,Super Racing,Super Saver,Embracing Love,Hipódromo de Palermo,1400,Arena,Todo caballo 6 años y más ganadores de 1 o 2 carreras,1,0,3.55
21mar2025,Song Kas,Sixties Song,Forest Kas,Hipódromo de Palermo,1600,Arena,Machos 3 años no ganadores,1,0,5.3499999
22mar2025,Dubai Hit,Hit It A Bomb,Dubai Glory,Hipódromo de Palermo,1000,Arena,Potrancas 2 años no ganadoras,6,8,8
22mar2025,Inter Again,Seek Again,Inter Star,Hipódromo de Palermo,1400,Arena,Todo caballo 5 años y más ganadores de 2 o 3 carreras,2,5,3.55
22mar2025,Buena Fortuna Hit,Hit It A Bomb,Fortunate One,Hipódromo de Palermo,1400,Arena,Yeguas 3 años no ganadoras,10,21.5,29.299999
22mar2025,Thunder Rim,Remote,Thunder Bamba,Hipódromo de Palermo,1200,Arena,Todo caballo 3 años ganadores,5,7.75,25.25
24mar2025,Sweet Master,Mastercraftsman,Reward Sweet,Hipódromo de Palermo,1400,Arena,Todo caballo 4 años ganadores,5,10,19.6
24mar2025,Luismi Happy,Hi Happy,Luisina Orpen,Hipódromo de Palermo,1400,Arena,Machos 3 años no ganadores,1,0,4.6500001
26mar2025,Busquets,Remote,Bouquet Nistel,Hipódromo de San Isidro,1600,Pasto,Productos 2 años no ganadores,6,50,17.15
26mar2025,Twins Rim,Remote,Twins Rye,Hipódromo de San Isidro,1400,Arena,Yeguas 3 años ganadoras,9,10.25999999977648,9.6999998
26mar2025,Elegant Sea,Seahenge,Elegant Nistel,Hipódromo de San Isidro,1400,Arena,Yeguas 3 años ganadoras,4,3.25,8.8000002
26mar2025,Bomb Nistel,Hit It A Bomb,Cursi Nistel,Hipódromo de San Isidro,1200,Arena,Yeguas 4 años ganadoras de 2 o 3 carreras,8,9.5,18.299999
26mar2025,Master Blue's,Mastercraftsman,Jazz Day,Hipódromo de San Isidro,1200,Arena,Yeguas 4 años ganadoras de 2 o 3 carreras,6,5.5,7.0500002
