eday,hora_carrera,ejemplar,padrillo,yegua,track,distance,surface,condicion,carreras_corridas,total_wins,pwin_bsn,avg_bsn_ejemplar
28mar2025,1400,Conni Sea,Seahenge,Connie Seattle,Hipódromo de San Isidro,1200,Arena,Machos 3 años no ganadores,4,0,106.17834,78.352737
28mar2025,1815,Hit It A Glory,Hit It A Bomb,Cursi And Glory,Hipódromo de San Isidro,1400,Arena,Yeguas 4 años ganadoras,5,1,104.8503,81.065598
28mar2025,1815,Fiestera Craf,Mastercraftsman,Fiestera Glory,Hipódromo de San Isidro,1400,Arena,Yeguas 4 años ganadoras,11,1,104.8503,96.80864
29mar2025,1300,Bode Heart,Bodemeister,Charming Heart,Hipódromo de La Plata,1200,Arena,Yeguas 4 años no ganadoras,1,0,95.47953,
29mar2025,1500,Tina Wells Song,Sixties Song,Tina Wells Top,Hipódromo de La Plata,1500,Arena,Yeguas 3 años no ganadoras,4,0,95.379234,89.786766
29mar2025,1530,Tati Song,Sixties Song,Tati Nistel,Hipódromo de La Plata,1100,Arena,Potrancas 2 años no ganadoras,1,0,94.496834,51.727673
29mar2025,1600,Esplendid Craf,Mastercraftsman,Esplendida Halo,Hipódromo de La Plata,1100,Arena,Todo caballo 4 años ganadores,27,1,111.80227,98.286308
29mar2025,1900,Juli Hit,Hit It A Bomb,Seattle Juli,Hipódromo de La Plata,1200,Arena,Yeguas 4 años no ganadoras,14,0,95.47953,82.839973
30mar2025,1430,Paris Je T'aime,Hit It A Bomb,Halo Holiday,Hipódromo de San Isidro,1200,Pasto,Potrancas 2 años no ganadoras,0,0,94.496834,
30mar2025,1540,Amour D'ete,Sixties Song,Miss Ette,Hipódromo de San Isidro,1200,Pasto,Potrancas 2 años no ganadoras,0,0,106.66721,
30mar2025,1540,Gringa Bomb,Hit It A Bomb,Gringa Torda,Hipódromo de San Isidro,1200,Pasto,Potrancas 2 años no ganadoras,0,0,106.66721,
30mar2025,1610,Curiosa Rim,Remote,Cursi Nistel,Hipódromo de San Isidro,1400,Pasto,Yeguas 3 años no ganadoras,7,0,111.70157,93.972679
30mar2025,1640,The Greatest,The Great Day,Smart Wells,Hipódromo de San Isidro,1200,Pasto,Potrillos 2 años no ganadores,1,0,113.43427,60.512466
30mar2025,1640,Crisette,The Great Day,Sea Diamonds,Hipódromo de San Isidro,1200,Pasto,Potrillos 2 años no ganadores,1,0,113.43427,81.835579
30mar2025,1740,Champion Craf,Mastercraftsman,Champion Day,Hipódromo de San Isidro,1400,Pasto,Yeguas 3 años y más,17,4,126.06264,96.040268
30mar2025,1910,Harlan's Rim,Remote,Harlan's Crazy,Hipódromo de San Isidro,1400,Pasto,Yeguas 3 años ganadoras,8,1,115.4232,105.94897
31mar2025,1400,Alabama City,Cityscape,Aldeana Jane,Hipódromo de Palermo,1200,Arena,Todo caballo 5 años y más ganadores de 2 carreras,15,2,105.61877,111.53551
31mar2025,1500,Re Perugia Rye,Remote,Perugia Rye,Hipódromo de Palermo,1200,Pasto,Yeguas 3 años no ganadoras,4,0,95.379234,85.062195
31mar2025,1705,Opium Rimout,Remote,Opium Sale,Hipódromo de Palermo,1200,Pasto,Yeguas 3 años no ganadoras,0,0,95.379234,
31mar2025,1735,Aroma Rim,Remote,Bouquet Nistel,Hipódromo de Palermo,1400,Arena,Todo caballo 3 años ganadores de 1 y 2 carreras,5,2,112.04874,105.27518
31mar2025,1735,Front Rimout,Remote,Stay In Front,Hipódromo de Palermo,1400,Arena,Todo caballo 3 años ganadores de 1 y 2 carreras,7,2,112.04874,103.42595
31mar2025,1935,Napoles Sant,Mastercraftsman,Sixties Kas,Hipódromo de Palermo,1200,Arena,Todo caballo 4 años ganadores de 2 carreras,5,2,111.80227,92.68573
